"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.11.2022","17,52","17,57","17,72","17,45","350,67K","-0,61%"
"11.11.2022","17,62","17,45","17,69","17,27","286,96K","5,06%"
"10.11.2022","16,77","16,51","16,80","16,44","351,94K","5,81%"
"09.11.2022","15,85","15,97","16,11","15,84","224,67K","-1,66%"
"08.11.2022","16,12","16,14","16,24","15,95","202,92K","-0,44%"
"07.11.2022","16,19","16,08","16,27","16,02","315,13K","4,62%"
"04.11.2022","15,48","15,51","15,62","15,26","302,98K","5,93%"
"03.11.2022","14,61","14,48","14,69","14,44","332,70K","-1,86%"
"02.11.2022","14,89","15,03","15,34","14,89","530,20K","-3,20%"
"01.11.2022","15,38","15,51","15,55","15,13","449,64K","0,70%"
"31.10.2022","15,27","14,90","15,33","14,84","497,56K","1,00%"
"28.10.2022","15,12","14,65","15,13","14,62","607,44K","-0,47%"
"27.10.2022","15,19","15,14","15,36","15,06","235,59K","-0,35%"
"26.10.2022","15,25","15,06","15,37","15,00","490,47K","1,25%"
"25.10.2022","15,06","14,89","15,13","14,84","316,60K","0,78%"
"24.10.2022","14,94","15,00","15,12","14,79","231,10K","-1,07%"
"21.10.2022","15,10","14,59","15,11","14,56","226,89K","2,27%"
"20.10.2022","14,77","14,79","15,07","14,71","224,48K","1,01%"
"19.10.2022","14,62","14,77","14,92","14,57","300,28K","-3,20%"
"18.10.2022","15,10","15,26","15,34","14,95","537,77K","2,67%"
"17.10.2022","14,71","14,84","14,94","14,71","363,09K","5,58%"
"14.10.2022","13,93","14,39","14,43","13,89","496,85K","-2,74%"
"13.10.2022","14,33","13,75","14,44","13,74","401,33K","3,55%"
"12.10.2022","13,83","13,84","13,93","13,67","361,33K","-2,21%"
"11.10.2022","14,15","14,10","14,45","13,99","387,38K","-0,44%"
"10.10.2022","14,21","14,39","14,45","14,08","489,28K","-3,46%"
"07.10.2022","14,72","15,00","15,11","14,60","498,30K","-3,68%"
"06.10.2022","15,28","15,21","15,42","15,19","171,91K","1,18%"
"05.10.2022","15,10","14,97","15,19","14,75","359,37K","-1,40%"
"04.10.2022","15,32","15,07","15,41","15,05","698,79K","4,45%"
"03.10.2022","14,67","14,51","14,79","14,38","546,80K","1,02%"
"30.09.2022","14,52","14,41","14,83","14,34","726,50K","-4,69%"
"29.09.2022","15,23","15,35","15,47","14,88","1,92M","-10,85%"
"28.09.2022","17,09","16,23","17,16","16,18","977,93K","5,05%"
"27.09.2022","16,27","16,36","16,51","15,96","1,29M","-0,68%"
"26.09.2022","16,38","16,19","16,68","16,16","842,95K","-1,43%"
"23.09.2022","16,61","16,81","16,86","16,44","880,75K","-4,64%"
"22.09.2022","17,42","17,58","17,66","17,19","407,90K","-1,10%"
"21.09.2022","17,61","17,84","18,17","17,61","374,25K","-3,43%"
"20.09.2022","18,24","18,34","18,49","18,05","819,42K","-1,07%"
"19.09.2022","18,44","17,45","18,46","17,39","1,39M","4,40%"
"16.09.2022","17,66","17,10","17,70","17,06","567,76K","0,61%"
"15.09.2022","17,55","17,26","17,73","17,23","376,77K","-1,01%"
"14.09.2022","17,73","17,22","17,80","17,19","667,57K","2,37%"
"13.09.2022","17,32","17,34","17,63","17,28","799,46K","-3,58%"
"12.09.2022","17,96","17,01","18,05","16,98","1,29M","8,47%"
"09.09.2022","16,56","16,58","16,65","16,40","1,23M","-1,49%"
"08.09.2022","16,81","16,50","16,86","16,40","556,47K","-2,69%"
"07.09.2022","17,28","16,84","17,28","16,82","442,25K","0,31%"
"06.09.2022","17,22","16,91","17,29","16,87","779,94K","5,59%"
"02.09.2022","16,31","16,83","17,15","16,24","294,30K","0,11%"
"01.09.2022","16,29","16,20","16,33","15,96","280,82K","-1,51%"
"31.08.2022","16,54","16,51","16,69","16,46","477,50K","-3,17%"
"30.08.2022","17,08","17,24","17,24","16,94","320,19K","2,88%"
"29.08.2022","16,61","16,61","16,69","16,47","223,34K","1,75%"
"26.08.2022","16,32","17,10","17,15","16,32","259,40K","-1,62%"
"25.08.2022","16,59","16,35","16,64","16,29","260,89K","1,42%"
"24.08.2022","16,35","16,14","16,41","16,10","229,57K","-0,97%"
"23.08.2022","16,52","16,50","16,73","16,46","256,24K","2,72%"
"22.08.2022","16,08","16,20","16,20","16,01","564,52K","-7,12%"
"19.08.2022","17,31","17,49","17,49","17,29","120,07K","-2,61%"
"18.08.2022","17,78","17,87","17,87","17,69","226,65K","-0,25%"
"17.08.2022","17,82","17,79","17,93","17,70","120,90K","-2,21%"
"16.08.2022","18,22","18,00","18,29","17,95","262,74K","1,29%"
"15.08.2022","17,99","17,92","18,09","17,87","189,66K","-1,24%"
"12.08.2022","18,22","18,25","18,25","18,02","161,27K","0,35%"
"11.08.2022","18,15","18,32","18,36","18,13","322,91K","-0,39%"
"10.08.2022","18,22","17,88","18,22","17,87","436,58K","5,54%"
"09.08.2022","17,27","17,53","17,61","17,25","439,35K","-1,43%"
"08.08.2022","17,52","17,62","17,68","17,45","238,46K","-0,51%"
"05.08.2022","17,61","17,57","17,66","17,48","206,99K","-1,25%"
"04.08.2022","17,83","17,94","17,95","17,74","176,68K","-0,80%"
"03.08.2022","17,97","17,64","18,00","17,61","322,01K","2,13%"
"02.08.2022","17,60","17,78","17,87","17,52","273,49K","-1,75%"
"01.08.2022","17,91","17,78","18,00","17,73","294,40K","1,42%"
"29.07.2022","17,66","17,19","17,68","17,15","271,14K","3,40%"
"28.07.2022","17,08","16,69","17,13","16,59","275,08K","3,47%"
"27.07.2022","16,51","16,19","16,58","16,09","345,94K","0,00%"
"26.07.2022","16,51","16,41","16,60","16,36","425,30K","-1,28%"
"25.07.2022","16,72","17,04","17,09","16,62","380,35K","-1,73%"
"22.07.2022","17,02","17,36","17,49","16,99","341,91K","-1,75%"
"21.07.2022","17,32","17,07","17,33","17,03","322,90K","-1,12%"
"20.07.2022","17,52","17,52","17,71","17,38","458,06K","-0,51%"
"19.07.2022","17,61","17,24","17,63","17,21","430,57K","4,68%"
"18.07.2022","16,82","17,08","17,11","16,75","433,35K","2,01%"
"15.07.2022","16,49","16,52","16,61","16,28","264,14K","3,48%"
"14.07.2022","15,93","15,80","16,10","15,60","296,87K","-2,25%"
"13.07.2022","16,30","16,07","16,40","15,99","241,33K","-0,65%"
"12.07.2022","16,41","16,30","16,67","16,22","211,82K","0,33%"
"11.07.2022","16,35","16,82","16,85","16,35","262,49K","-4,09%"
"08.07.2022","17,05","16,94","17,16","16,80","278,94K","4,61%"
"07.07.2022","16,30","16,08","16,35","15,99","351,92K","5,49%"
"06.07.2022","15,45","15,25","15,54","15,22","389,99K","0,12%"
"05.07.2022","15,43","15,07","15,46","15,01","477,55K","-5,32%"
"01.07.2022","16,30","15,97","16,30","15,85","262,21K","0,11%"
"30.06.2022","16,28","15,96","16,38","15,76","477,95K","-4,36%"
"29.06.2022","17,03","17,21","17,28","17,00","318,24K","-2,51%"
"28.06.2022","17,46","17,96","18,13","17,28","892,49K","1,01%"
"27.06.2022","17,29","17,52","17,52","17,25","281,20K","0,65%"
"24.06.2022","17,18","16,60","17,19","16,59","248,03K","2,75%"
"23.06.2022","16,72","16,99","17,00","16,62","739,85K","-2,68%"
"22.06.2022","17,18","16,98","17,48","16,94","290,74K","-1,23%"
"21.06.2022","17,39","17,53","17,63","17,36","350,42K","1,83%"
"17.06.2022","17,08","17,19","17,29","16,83","302,05K","-0,18%"
"16.06.2022","17,11","17,21","17,28","17,05","265,55K","-3,51%"
"15.06.2022","17,73","17,78","17,87","17,43","438,67K","0,05%"
"14.06.2022","17,72","18,01","18,05","17,61","448,73K","-1,44%"
"13.06.2022","17,98","18,17","18,23","17,78","324,97K","-6,11%"
"10.06.2022","19,15","19,28","19,34","18,97","202,91K","-2,59%"
"09.06.2022","19,66","19,90","20,05","19,66","160,81K","-1,92%"
"08.06.2022","20,05","20,06","20,34","20,04","264,42K","0,27%"
"07.06.2022","19,99","19,72","20,00","19,69","224,86K","-0,49%"
"06.06.2022","20,09","20,39","20,47","20,02","435,82K","-0,18%"
"03.06.2022","20,13","20,42","20,48","20,00","220,74K","-3,41%"
"02.06.2022","20,84","20,32","20,86","20,27","315,93K","1,95%"
"01.06.2022","20,44","20,39","20,56","20,31","302,68K","1,78%"
"31.05.2022","20,08","20,09","20,13","19,80","365,70K","6,14%"
